Статистика популярности языков программирования на acmp.ru
количество всех попыток сдать решение на языке в течение месяца
month;C++;Python;Java;Pascal;C#;JavaScript;Go;Basic;all
="01.2007";35;0;0;12;0;0;0;0;47
="02.2007";356;0;0;212;0;0;0;0;568
="03.2007";353;0;0;1434;0;0;0;0;1787
="04.2007";237;0;0;671;0;0;0;0;908
="05.2007";515;0;0;1518;0;0;0;0;2033
="06.2007";204;0;0;1206;0;0;0;0;1410
="07.2007";2041;0;43;2283;0;0;0;2;4369
="08.2007";1029;0;71;1040;0;0;0;17;2157
="09.2007";1341;0;60;2890;0;0;0;40;4331
="10.2007";2276;0;31;5521;0;0;0;62;7890
="11.2007";2954;0;167;6982;0;0;0;334;10437
="12.2007";1576;0;17;7229;0;0;0;101;8923
="01.2008";2390;0;296;11420;0;0;0;66;14172
="02.2008";3626;0;255;13964;0;0;0;47;17892
="03.2008";2253;0;182;12013;0;0;0;85;14533
="04.2008";2942;0;138;10351;0;0;0;131;13562
="05.2008";3699;0;244;10063;0;0;0;59;14065
="06.2008";2293;0;225;6297;0;0;0;22;8837
="07.2008";2451;0;167;4664;0;0;0;6;7288
="08.2008";2717;0;214;3381;0;0;0;9;6321
="09.2008";1879;0;53;8250;0;0;0;42;10224
="10.2008";4564;0;501;19702;0;0;0;135;24902
="11.2008";9178;0;726;23755;0;0;0;465;34124
="12.2008";7537;0;350;22860;0;0;0;231;30978
="01.2009";7329;0;516;16526;0;0;0;52;24423
="02.2009";10444;0;294;22055;0;0;0;89;32882
="03.2009";15245;0;331;20560;0;0;0;154;36290
="04.2009";13082;0;626;12965;0;0;0;180;26853
="05.2009";10829;0;708;12295;0;0;0;292;24124
="06.2009";11006;0;484;10491;0;0;0;98;22079
="07.2009";9216;0;554;6326;0;0;0;109;16205
="08.2009";8192;0;581;6416;0;0;0;75;15264
="09.2009";10982;0;886;15134;0;0;0;109;27111
="10.2009";14938;0;1403;27219;0;0;0;551;44111
="11.2009";15014;0;1908;26734;0;0;0;408;44064
="12.2009";13915;0;1557;27935;0;0;0;474;43881
="01.2010";14915;0;2005;27284;0;0;0;1159;45363
="02.2010";17703;0;2699;19800;0;0;0;342;40544
="03.2010";17867;0;3411;25550;0;0;0;594;47422
="04.2010";12334;0;1283;17957;0;0;0;925;32499
="05.2010";10513;0;967;16438;0;0;0;590;28508
="06.2010";8791;0;468;17965;0;0;0;1165;28389
="07.2010";10608;0;1220;10541;0;0;0;160;22529
="08.2010";7772;0;988;10010;0;0;0;372;19142
="09.2010";12266;0;1483;17576;0;0;0;206;31531
="10.2010";21318;0;2730;35173;0;0;0;432;59653
="11.2010";25336;0;1930;44157;0;0;0;535;71958
="12.2010";19398;0;1731;38118;0;0;0;211;59458
="01.2011";17413;0;1782;31654;0;0;0;328;51177
="02.2011";25413;0;858;32572;0;0;0;175;59018
="03.2011";26794;0;1241;29164;0;0;0;130;57329
="04.2011";20346;0;1113;22204;0;0;0;196;43859
="05.2011";13818;0;867;14675;0;0;0;111;29471
="06.2011";12988;0;1000;16980;0;0;0;211;31179
="07.2011";17491;0;1489;9196;0;0;0;79;28255
="08.2011";19790;0;1578;16482;0;0;0;187;38037
="09.2011";22365;0;1994;26395;0;0;0;198;50952
="10.2011";25803;0;3435;45019;0;0;0;907;75164
="11.2011";21518;0;2359;38386;0;0;0;525;62788
="12.2011";27187;0;2735;39824;0;0;0;712;70458
="01.2012";30904;0;2364;36739;0;0;0;351;70358
="02.2012";18786;0;1817;27177;0;0;0;992;48772
="03.2012";19261;0;2538;25405;0;0;0;190;47394
="04.2012";16323;0;2822;22162;0;0;0;160;41467
="05.2012";16296;0;2194;18912;0;0;0;286;37688
="06.2012";18594;0;2284;16912;0;0;0;47;37837
="07.2012";20797;0;3095;10969;0;0;0;81;34942
="08.2012";16830;0;2195;15819;0;0;0;54;34898
="09.2012";17961;0;3645;24312;0;0;0;223;46141
="10.2012";33185;0;3743;44534;0;0;0;1063;82525
="11.2012";41128;0;2416;45196;0;0;0;606;89346
="12.2012";33961;0;2197;33790;0;0;0;523;70471
="01.2013";24823;0;1894;32329;0;0;0;448;59494
="02.2013";26430;0;2271;28511;0;0;0;159;57371
="03.2013";26884;0;3074;22350;0;0;0;149;52457
="04.2013";24144;0;2932;19442;0;0;0;64;46582
="05.2013";18312;0;2063;15580;0;0;0;201;36156
="06.2013";21538;0;2124;18827;0;0;0;185;42674
="07.2013";20530;0;2853;10693;0;0;0;19;34095
="08.2013";15415;0;2318;9299;0;0;0;122;27154
="09.2013";21761;0;2037;24276;0;0;0;189;48263
="10.2013";39065;0;4076;38886;0;0;0;545;82572
="11.2013";35493;0;5118;47255;0;0;0;373;88239
="12.2013";34359;0;4204;34658;0;0;0;237;73458
="01.2014";32411;0;1607;31555;0;0;0;96;65669
="02.2014";33604;0;1694;23820;0;0;0;54;59172
="03.2014";31487;0;1725;17314;0;0;0;284;50810
="04.2014";30631;0;2305;17312;0;0;0;140;50388
="05.2014";26064;0;1843;14201;0;0;0;83;42191
="06.2014";33758;0;2463;16166;0;0;0;179;52566
="07.2014";30592;0;2641;10628;0;0;0;69;43930
="08.2014";23908;0;2058;8529;0;0;0;114;34609
="09.2014";35030;0;2381;23966;0;0;0;120;61497
="10.2014";45494;0;3878;37280;0;0;0;204;86856
="11.2014";51993;0;3233;38728;0;0;0;191;94145
="12.2014";45953;0;2161;30611;0;0;0;127;78852
="01.2015";35120;0;2560;27485;0;0;0;208;65373
="02.2015";32267;0;2574;18896;0;0;0;149;53886
="03.2015";31677;0;3498;22348;0;0;0;118;57641
="04.2015";36975;0;3430;28599;0;0;0;281;69285
="05.2015";36983;3528;2876;22072;483;0;0;97;66039
="06.2015";32109;3186;3822;14067;1305;0;0;126;54615
="07.2015";28403;4342;1634;10134;1119;0;0;53;45685
="08.2015";27623;4237;2488;11390;855;0;0;20;46613
="09.2015";57813;5005;3536;30646;1221;0;0;10;98231
="10.2015";89301;8677;6039;48755;1327;0;0;59;154158
="11.2015";81218;9149;3423;51207;1719;0;0;52;146768
="12.2015";86639;7650;4505;44455;1082;0;0;53;144384
="01.2016";69386;6861;4013;38515;1901;0;0;39;120715
="02.2016";28744;2905;3047;15249;1173;0;0;11;51129
="03.2016";46395;6763;3833;26559;1162;0;0;22;84734
="04.2016";49725;5141;3488;29752;1499;0;0;52;89657
="05.2016";38549;4736;2958;22806;928;0;0;21;69998
="06.2016";29652;4639;2148;14765;639;0;0;10;51853
="07.2016";31899;5246;3305;8612;769;0;0;15;49846
="08.2016";33760;5105;3100;10450;773;0;0;9;53197
="09.2016";70917;5455;3413;26926;1614;0;0;21;108346
="10.2016";95569;10988;6183;40597;3902;0;0;57;157296
="11.2016";91064;10832;6255;49258;1723;0;0;96;159228
="12.2016";81018;8880;5843;41185;1381;0;0;107;138414
="01.2017";61606;10256;5310;35666;1494;0;0;32;114364
="02.2017";61464;8029;4618;35216;1291;0;0;256;110874
="03.2017";57956;6890;12909;33690;1855;0;0;196;113496
="04.2017";53429;6687;6085;25380;1717;0;0;70;93368
="05.2017";45311;7057;2898;20295;708;0;0;35;76304
="06.2017";50823;7475;3734;14602;1851;0;0;28;78513
="07.2017";49881;5751;4920;9528;773;0;0;19;70872
="08.2017";48424;8063;6402;10308;926;0;0;31;74154
="09.2017";92960;11886;5670;26507;2265;0;0;19;139307
="10.2017";128588;19671;5899;46957;2657;0;0;87;203859
="11.2017";120684;28925;6271;55028;2586;0;0;69;213563
="12.2017";109187;20967;6217;43862;1426;0;0;34;181693
="01.2018";84639;16521;14118;34339;2166;0;0;230;152013
="02.2018";73271;12958;6254;31774;992;0;0;63;125312
="03.2018";89489;13467;6013;33093;2750;0;0;30;144842
="04.2018";78797;14114;4787;30604;2251;0;0;21;130574
="05.2018";66739;15747;4816;25575;1336;0;0;20;114233
="06.2018";75898;18466;5980;22484;2007;0;0;22;124857
="07.2018";57733;12208;4969;10173;1971;0;114;346;87514
="08.2018";63517;13534;4329;10791;1586;0;179;144;94080
="09.2018";118510;22672;5206;30751;2808;0;126;456;180529
="10.2018";175500;39793;9081;62331;3009;0;272;456;290442
="11.2018";177423;45396;12509;60552;2368;0;268;152;298668
="12.2018";156693;35011;6863;39984;1921;0;165;82;240719
="01.2019";122503;36005;8647;38816;3016;0;188;77;209252
="02.2019";113866;28285;5733;31268;5633;0;305;81;185171
="03.2019";102167;29547;6306;38758;4302;0;171;394;181645
="04.2019";107905;32405;5078;40922;4738;0;673;100;191821
="05.2019";82050;27619;5263;31892;1937;0;232;47;149040
="06.2019";64917;20704;3969;9450;2763;0;58;11;101872
="07.2019";63565;20628;4478;8262;1857;0;70;268;99128
="08.2019";63965;20573;4796;8571;2153;0;161;82;100301
="09.2019";131940;30224;5446;26817;2983;0;272;21;197703
="10.2019";183934;50162;8453;46326;7174;0;188;52;296289
="11.2019";171148;53188;9507;41649;10287;0;224;100;286103
="12.2019";154048;52431;10842;34473;4914;0;310;41;257059
="01.2020";113428;43719;9518;28854;3673;0;632;42;199866
="02.2020";116434;45032;4506;23832;6630;0;189;209;196832
="03.2020";103335;43174;4172;20654;4898;0;269;132;176634
="04.2020";85325;41185;3928;17602;3417;0;103;181;151741
="05.2020";57620;31417;5337;14154;4108;0;169;153;112958
="06.2020";55786;25893;4157;8531;2850;0;77;3;97297
="07.2020";60626;32187;4532;5731;3426;0;102;7;106611
="08.2020";50946;25837;3531;5939;3242;0;175;4;89674
="09.2020";96304;43700;7704;15681;2666;0;182;36;166273
="10.2020";141979;59291;15209;26138;2264;0;371;58;245310
="11.2020";137920;55744;5488;24994;4281;0;172;32;228631
="12.2020";118155;57430;7437;23335;1979;0;277;38;208651
="01.2021";94527;53209;4884;16733;1990;0;210;224;171777
="02.2021";122957;71902;6096;21269;5524;0;542;170;228460
="03.2021";110453;66031;5887;17771;4525;0;231;19;204917
="04.2021";96167;51350;4469;16006;2209;0;83;57;170341
="05.2021";66130;38723;2966;9678;1470;0;110;27;119104
="06.2021";58359;29306;6126;8419;1591;0;72;27;103900
="07.2021";62465;33400;4437;5405;1666;0;612;12;107997
="08.2021";70244;26686;4527;3920;1287;0;160;4;106828
="09.2021";107929;52808;5136;14960;2132;0;144;23;183132
="10.2021";160605;81594;8289;26699;2708;0;189;33;280117
="11.2021";138234;73185;19345;22768;2783;0;475;28;256818
="12.2021";117881;70895;7403;20231;5745;0;400;29;222584
="01.2022";88332;63963;6486;13087;2773;0;314;15;174970
="02.2022";93299;66713;5662;13417;2538;0;121;68;181818
="03.2022";95985;66761;4784;11885;3468;0;400;41;183324
="04.2022";91523;68052;7612;12065;2293;0;166;194;181905
="05.2022";70067;51863;18896;9137;5001;0;137;41;155142
="06.2022";57757;40465;5086;3688;2076;0;108;12;109192
="07.2022";63355;28472;4106;1512;2962;0;75;6;100488
="08.2022";60365;30490;3704;1770;2159;0;315;10;98813
="09.2022";97424;62178;19572;8619;1901;0;287;22;190003
="10.2022";148440;94019;11084;14613;3965;0;231;35;272387
="11.2022";148658;93380;11611;14306;3539;490;153;27;272164
="12.2022";119837;88312;8075;14162;2997;916;201;44;234544
